1948 2017
 1948 -5 7 -6 161 9 284 69 277 -105 -50 -10 -4
 1949 1 -7 15 14 -48 -46 51 263 -213 -75 24 48
 1950 4 3 -19 -33 -18 -46 276 1045 509 170 2 -2
 1951 2 2 37 -23 119 -40 -29 237 474 720 83 -3
 1952 -4 -6 -13 -35 81 -23 273 355 904 104 0 2
 1953 -2 12 29 -33 278 289 451 188 214 88 21 27
 1954 -5 49 21 60 140 178 594 777 10 43 173 -1
 1955 -2 3 52 35 5 248 524 192 410 101 4 34
 1956 -1 7 24 0 -60 -1 206 317 332 20 9 91
 1957 0 -4 2 14 183 200 215 321 412 338 44 6
 1958 14 1 -2 36 10 256 272 860 165 -5 153 0
 1959 -3 -2 -5 -27 90 -75 -51 771 178 -139 20 -5
 1960 -5 -8 5 18 42 84 362 -8 277 -32 16 8
 1961 -1 -7 -8 -17 -46 143 447 298 177 -128 6 -4
 1962 -5 -7 -10 58 24 115 130 496 128 125 93 -4
 1963 -2 11 -7 57 14 4 48 254 85 385 -9 -5
 1964 -4 -8 6 1 92 206 311 542 269 -91 -7 54
 1965 21 6 -19 -47 -25 242 -10 475 396 26 11 -5
 1966 -6 -8 8 29 33 157 -255 15 538 400 -4 -1
 1967 -5 1 22 17 -45 32 138 430 448 118 16 -2
 1968 -5 57 26 149 72 63 17 -331 -27 -4 15 8
 1969 -3 -6 15 -3 -26 7 309 235 166 382 18 -2
 1970 -4 -8 -9 -35 56 -195 143 141 68 -149 1 -4
 1971 -5 2 20 9 -56 -127 -61 276 -6 -153 -8 14
 1972 1 -2 4 32 102 7 -319 -297 -293 18 4 4
 1973 -5 -5 -9 -12 -14 -81 -76 -143 -243 -139 -11 0
 1974 -5 -7 8 -27 -62 -117 337 277 81 -53 2 -4
 1975 -5 -6 5 0 55 -93 514 28 236 -57 3 0
 1976 12 5 -7 9 83 30 -106 -134 50 425 44 12
 1977 3 -8 -9 -54 -17 -93 -96 -202 59 -88 -24 -2
 1978 -3 -3 31 168 60 67 248 -108 106 105 17 8
 1979 16 -8 2 -30 100 234 0 -190 -102 28 31 2
 1980 1 9 -21 -23 19 -19 40 79 -132 -91 14 4
 1981 -4 -4 12 29 126 -10 222 -99 -143 -112 -15 -4
 1982 -5 4 25 50 -1 -54 -146 -48 -291 51 -13 -4
 1983 -5 -2 -10 -41 -2 15 -249 -406 -234 -190 -17 -4
 1984 -5 -8 5 -5 78 -42 -256 -702 -97 -51 21 -4
 1985 -4 -7 14 -45 -113 -32 19 -46 -38 -148 -10 0
 1986 -5 -3 -11 -23 9 -97 -71 -272 291 -53 -7 -4
 1987 -5 -7 -1 -76 -86 -8 -214 -206 -42 10 -19 -4
 1988 -4 -2 -12 33 -106 37 100 381 171 -134 4 -4
 1989 -5 -1 14 -49 -86 43 21 369 -128 38 -11 9
 1990 0 -6 -23 -11 19 -133 82 -330 -199 -80 -6 3
 1991 -4 4 18 29 258 -29 97 75 -320 125 -20 -2
 1992 30 12 -8 4 170 -21 71 -62 -71 -54 49 -3
 1993 -4 7 69 5 -71 2 149 -142 -32 -60 32 -3
 1994 -6 -4 -1 -9 -16 8 49 409 446 332 19 -4
 1995 -6 -4 11 41 -10 -67 -21 116 -7 -39 -8 56
 1996 -3 1 -10 -18 49 -10 -50 -107 88 7 -12 0
 1997 -1 -8 12 38 90 138 -243 -172 -46 14 -7 -5
 1998 -2 -4 -22 28 6 -31 -110 116 492 -31 -20 -1
 1999 -4 -3 -11 12 -69 -115 215 629 327 257 6 -3
 2000 12 -7 -11 -17 -19 32 204 -113 -155 141 -5 -4
 2001 -6 -8 -18 38 -61 146 116 -102 -44 -108 17 -4
 2002 51 -3 -4 -20 -95 -109 -217 -287 -69 195 -18 2
 2003 0 0 3 23 -32 200 178 324 134 113 21 -3
 2004 5 -1 -8 37 -32 -1 90 -55 -253 -136 7 -2
 2005 -2 29 24 -17 30 172 43 -92 66 -25 -12 -3
 2006 -3 18 -16 -2 3 -69 -107 68 154 28 -23 -4
 2007 -5 -6 -10 29 -50 -147 -33 281 -209 -126 40 -1
 2008 -5 -2 -5 -7 16 201 172 178 23 73 -17 -2
 2009 -5 7 -4 -33 -23 0 -148 216 319 55 11 -3
 2010 -5 -2 -12 7 88 144 123 61 477 211 -8 -3
 2011 -4 3 -4 -27 -37 -38 -153 174 -160 -91 -17 -3
 2012 -5 8 -6 10 72 41 413 400 266 -3 42 -2
 2013 -3 8 5 90 -75 -56 -152 389 76 15 -6 0
 2014 9 3 0 2 346 53 -214 184 179 29 16 -2
 2015 -4 12 1 -52 -90 -101 371 567 378 153 16 -3
 2016 7 -7 23 38 70 86 411 178 335 -83 1 -3
 2017 -4 -7 -2 14 207 333 203 192 -223 -130 -5 11
 -999
Sahel Standardized Rainfall (20-8N, 20W-10E)
Info at https://psl.noaa.gov/data/climateindices/list/
http://research.jisao.washington.edu/data_sets/sahel/#values
re-obtained May 28 2019
Averages are in 0.1 mm, so "-5" is -0.05 cm precipitation anomaly with respect to 1980-2009.
GPCC data was used.
Please use the digital object identifier doi:10.6069/H5MW2F2Q in your citation of this index.
units=.01mm

