 1948 2024
 1948 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99
 1949 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99
 1950 -1.38 -1.53 -1.80 -1.73 -1.18 -0.84 -1.26 -1.25 -1.49 -1.63 -1.70 -1.40
 1951 -1.10 -1.11 -0.58 -0.42 0.26 0.08 0.23 -0.26 -0.12 -0.22 -0.04 0.04
 1952 -0.04 -0.16 -0.34 -0.16 -0.25 -0.47 -0.77 -0.79 -0.37 -0.70 -0.54 -0.69
 1953 -0.34 -0.22 -0.29 -0.14 0.01 0.18 -0.05 -0.22 -0.46 -0.10 -0.11 0.03
 1954 0.04 -0.02 -0.35 -0.71 -0.71 -0.80 -1.08 -1.16 -1.27 -1.48 -1.16 -1.24
 1955 -0.91 -1.09 -1.23 -1.06 -1.10 -0.96 -0.86 -1.25 -1.35 -2.00 -2.00 -1.45
 1956 -1.28 -1.19 -1.10 -1.10 -0.91 -0.79 -1.04 -1.46 -1.42 -1.12 -0.81 -0.65
 1957 -0.61 -0.47 -0.45 -0.06 0.01 -0.38 -0.55 -0.04 -0.11 0.02 0.07 0.34
 1958 0.73 0.93 0.67 0.27 0.07 0.02 -0.06 -0.14 -0.15 0.01 -0.02 0.11
 1959 0.05 -0.21 -0.32 -0.18 -0.26 -0.45 -0.63 -0.54 -0.56 -0.44 -0.66 -0.51
 1960 -0.70 -0.75 -0.57 -0.62 -0.50 -0.64 -0.75 -0.72 -0.71 -0.60 -0.38 -0.13
 1961 -0.35 -0.41 -0.53 -0.72 -0.64 -0.51 -0.71 -0.87 -0.70 -0.93 -0.61 -0.54
 1962 -0.66 -0.66 -0.56 -0.59 -0.80 -0.59 -0.77 -0.81 -0.85 -0.82 -0.80 -0.80
 1963 -0.86 -0.72 -0.35 -0.34 -0.51 -0.65 -0.28 0.00 0.24 0.23 0.01 0.00
 1964 0.09 -0.15 -0.64 -0.61 -0.71 -1.03 -1.11 -1.37 -1.71 -1.62 -1.74 -1.60
 1965 -1.09 -0.76 -0.75 -0.92 -0.41 -0.09 0.01 0.12 0.12 0.51 0.41 0.33
 1966 0.38 0.44 0.76 0.17 -0.06 -0.04 0.08 -0.21 -0.19 -0.08 -0.05 -0.33
 1967 -0.72 -0.78 -0.50 -0.19 -0.15 -0.39 -0.38 -0.47 -0.56 -0.43 -0.36 -0.39
 1968 -0.46 -0.47 -0.57 -0.46 -0.60 -0.09 -0.34 -0.21 -0.19 -0.07 0.40 0.63
 1969 0.92 1.08 0.63 0.40 0.33 -0.04 -0.17 0.13 0.40 0.56 0.49 0.39
 1970 0.21 0.29 0.01 -0.05 -0.09 -0.35 -0.46 -0.90 -1.11 -1.17 -1.13 -1.50
 1971 -1.67 -1.38 -1.31 -1.17 -1.07 -1.14 -1.20 -1.25 -1.46 -1.32 -0.98 -0.68
 1972 -0.69 -0.31 -0.16 0.11 0.11 0.10 0.13 -0.04 0.11 0.40 0.53 0.67
 1973 0.67 0.40 0.01 -0.37 -0.43 -0.82 -1.05 -1.35 -1.49 -1.65 -1.92 -2.04
 1974 -2.02 -1.48 -1.15 -1.20 -1.14 -1.08 -1.16 -0.82 -1.05 -1.23 -1.14 -1.12
 1975 -0.71 -0.55 -0.86 -0.99 -1.15 -1.43 -1.53 -1.76 -2.05 -2.21 -2.11 -2.15
 1976 -1.74 -1.30 -0.98 -0.82 -0.77 -0.76 -0.72 -0.62 -0.50 -0.03 0.09 -0.25
 1977 -0.10 -0.15 -0.23 -0.23 -0.35 -0.17 -0.06 -0.08 0.19 0.28 0.32 0.41
 1978 0.40 0.19 -0.14 -0.59 -0.40 -0.56 -0.62 -0.59 -0.48 -0.56 -0.39 -0.17
 1979 0.04 -0.11 -0.02 -0.02 -0.18 -0.24 -0.20 -0.45 -0.29 -0.18 0.12 0.29
 1980 0.37 0.36 0.19 0.14 0.26 0.16 0.02 -0.29 -0.27 -0.02 -0.02 -0.03
 1981 -0.13 -0.17 -0.17 -0.52 -0.56 -0.59 -0.73 -0.71 -0.40 -0.38 -0.31 -0.09
 1982 -0.03 -0.18 0.07 0.33 0.39 0.45 0.13 0.09 0.33 0.67 0.57 0.51
 1983 0.39 0.33 0.23 0.04 0.16 -0.00 -0.27 -0.40 -0.78 -0.89 -1.01 -0.83
 1984 -0.83 -0.72 -0.85 -0.88 -0.78 -0.78 -0.59 -0.62 -0.54 -0.74 -0.91 -0.95
 1985 -0.64 -0.71 -1.01 -1.14 -0.98 -0.95 -0.72 -0.58 -0.48 -0.40 -0.35 -0.24
 1986 -0.25 -0.23 -0.16 -0.34 -0.33 -0.19 -0.08 0.06 0.22 0.23 0.38 0.32
 1987 0.30 0.50 0.47 0.08 0.19 0.40 0.49 0.59 0.78 0.82 0.82 0.76
 1988 0.65 0.45 0.14 -0.36 -0.62 -0.88 -0.94 -0.77 -0.92 -1.64 -1.73 -1.77
 1989 -1.72 -1.53 -1.16 -1.01 -0.79 -0.92 -0.85 -0.77 -0.50 -0.45 -0.54 -0.12
 1990 0.16 0.38 0.31 0.12 -0.06 -0.05 0.02 0.13 0.22 0.39 0.50 0.65
 1991 0.58 0.54 0.34 0.34 0.46 0.38 0.45 0.47 0.33 0.70 0.69 0.81
 1992 0.62 0.89 0.64 0.46 0.31 0.27 0.31 0.14 0.10 -0.00 -0.01 0.07
 1993 0.22 0.10 0.05 0.04 0.07 0.04 0.07 0.13 0.30 0.02 0.09 0.18
 1994 0.11 -0.06 0.05 0.11 0.23 0.26 0.50 0.71 0.54 0.69 0.75 0.92
 1995 0.72 0.71 0.71 0.52 0.39 0.21 0.03 -0.14 -0.35 -0.45 -0.59 -0.50
 1996 -0.47 -0.52 -0.40 -0.46 -0.45 -0.48 -0.45 -0.32 -0.37 -0.31 -0.23 -0.19
 1997 0.01 0.19 0.24 0.59 0.53 0.26 0.47 0.50 0.68 0.58 0.69 0.57
